,contract,exchange_time,underlying_index,forward_price,spot_price,usd_multiplier,mark_price,bid_price,ask_price,bid_size,ask_size,mark_iv,bid_iv,ask_iv,delta,vega,theta,gamma,open_interest,volume,mat_id,strike,optiontype,expiry,ttm,contract_size,interest_rate
44,530.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,15.64342319957979,17.47,18.57,1.0,1.0,,,0.9676717186366068,1.0,0.0,0.0,0.0,376.0,176.0,18Jun2024,530.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
45,531.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,14.799267220683465,16.62,17.59,1.0,1.0,,,0.959962686714207,1.0,0.0,0.0,0.0,314.0,3.0,18Jun2024,531.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
46,532.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,13.955205279816813,15.53,16.54,1.0,1.0,,,0.807261467368231,1.0,0.0,0.0,0.0,344.0,19.0,18Jun2024,532.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
47,533.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,13.111237281279308,14.43,15.56,1.0,1.0,,,0.8113033377094241,1.0,0.0,0.0,0.0,1249.0,72.0,18Jun2024,533.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
48,534.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,12.267363132802457,13.59,14.52,1.0,1.0,,,0.6574118399782479,1.0,0.0,0.0,0.0,1948.0,89.0,18Jun2024,534.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
49,535.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,11.423582745524548,12.92,13.37,1.0,1.0,,,,1.0,0.0,0.0,0.0,1737.0,201.0,18Jun2024,535.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
50,536.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,10.579896033938072,11.48,12.35,1.0,1.0,,,,1.0,0.0,0.0,0.0,1513.0,244.0,18Jun2024,536.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
51,537.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,9.736302915809306,10.49,11.35,1.0,1.0,,,,1.0,0.0,0.0,0.0,1135.0,167.0,18Jun2024,537.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
52,538.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,8.892803312069713,9.83,10.35,1.0,1.0,,,,1.0,0.0,0.0,0.0,1287.0,303.0,18Jun2024,538.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
53,539.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,8.049397146678672,8.67,9.29,1.0,1.0,,,,1.0,0.0,0.0,0.0,837.0,196.0,18Jun2024,539.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
