,root,expiry,strike,optiontype,mid_price,bid_size,bid_price,ask_size,ask_price,open_interest,mark_price,exchange_time,ttm,mat_id
4560,SPXW,2024-05-24,4560,P,0.0,0,0.0,803,0.05,202,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4570,SPXW,2024-05-24,4570,C,0.0,1,724.9,1,743.0,1,733.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4570,SPXW,2024-05-24,4570,P,0.0,0,0.0,770,0.05,169,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4575,SPXW,2024-05-24,4575,C,0.0,1,719.9,1,738.0,3,728.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4575,SPXW,2024-05-24,4575,P,0.0,0,0.0,1885,0.05,838,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4580,SPXW,2024-05-24,4580,C,0.0,1,714.9,1,733.0,12,723.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4580,SPXW,2024-05-24,4580,P,0.0,0,0.0,1269,0.05,397,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4590,SPXW,2024-05-24,4590,C,0.0,1,704.9,1,723.0,10,713.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4590,SPXW,2024-05-24,4590,P,0.0,0,0.0,1269,0.05,491,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4600,SPXW,2024-05-24,4600,C,0.0,1,694.9,1,713.0,18,703.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4600,SPXW,2024-05-24,4600,P,0.0,0,0.0,1289,0.05,6428,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4610,SPXW,2024-05-24,4610,C,0.0,1,684.9,1,703.0,3,693.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4610,SPXW,2024-05-24,4610,P,0.0,0,0.0,1049,0.05,510,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4620,SPXW,2024-05-24,4620,C,0.0,1,674.9,1,693.0,2,683.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4620,SPXW,2024-05-24,4620,P,0.0,0,0.0,1049,0.05,501,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4625,SPXW,2024-05-24,4625,C,0.0,1,669.9,1,688.0,0,678.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4625,SPXW,2024-05-24,4625,P,0.0,0,0.0,1049,0.05,1802,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4630,SPXW,2024-05-24,4630,C,0.0,1,664.9,1,683.0,1,673.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4630,SPXW,2024-05-24,4630,P,0.0,0,0.0,1049,0.05,382,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4640,SPXW,2024-05-24,4640,C,0.0,1,654.9,1,673.0,15,663.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4640,SPXW,2024-05-24,4640,P,0.0,0,0.0,1149,0.05,1679,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4650,SPXW,2024-05-24,4650,C,0.0,1,644.9,1,663.0,7,653.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4650,SPXW,2024-05-24,4650,P,0.0,0,0.0,1169,0.05,5398,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
